	TMAX_ATL	TMAX_NYC	TMAX_CH	TMAX_LA	TMAX_SD	TMAX_SF	TMIN_ATL	TMIN_NYC	TMIN_CH	TMIN_LA	TMIN_SD	TMIN_SF	SNOW_ATL	SNOW_NYC	SNOW_CH	SNOW_LA	SNOW_SD	SNOW_SF	SNWD_ATL	SNWD_NYC	SNWD_CH	SNWD_LA	SNWD_SD	SNWD_SF	PRCP_ATL	PRCP_NYC	PRCP_CH	PRCP_LA	PRCP_SD	PRCP_SF	WalMart	Apple	Boeing	FedEx	IBM
13	95.1428571429	0.0	-22.2857142857	219.5	249.8	116.666666667	-21.4285714286	-80.0	-126.142857143	66.5	55.4	51.8333333333	0.0	21.6	1.42857142857	0.0	0.0	0.0	0.0	30.4	47.2857142857	0.0	0.0	0.0	0.0	13.0	0.428571428571	0.0	0.0	0.5	0.0321208705445	0.0	-0.0200293642741	0.0251067585963	0.0182486815884
14	46.0	-45.6	-110.428571429	246.333333333	220.0	175.833333333	-117.571428571	-153.4	-227.0	78.5	73.6	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.8	43.5714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0573822967095	-0.00369328096247	0.0143470322233	0.0190993339082	0.0107335556431
15	61.0	-16.6	-34.8571428571	237.833333333	206.6	147.166666667	-72.2857142857	-116.6	-161.142857143	97.1666666667	41.2	46.1666666667	0.0	15.6	54.8571428571	0.0	0.0	0.0	0.0	55.8	94.4285714286	0.0	0.0	0.0	23.5714285714	10.6	34.4285714286	0.0	0.0	0.0	0.0146290061791	-0.00386478934449	0.0	-0.0498718300402	0.0176371414861
16	64.1428571429	13.2	-36.4285714286	223.333333333	194.2	127.666666667	-5.71428571429	-83.4	-179.285714286	56.3333333333	22.2	51.8333333333	0.0	103.6	8.0	0.0	0.0	0.0	0.0	142.4	87.0	0.0	0.0	0.0	69.0	104.0	1.14285714286	0.0	0.0	0.0	0.0	-0.00403650121512	-0.00902335946301	-0.0119761910467	-0.00895261127211
17	69.7142857143	-42.2	-100.714285714	185.833333333	205.4	123.166666667	-73.8571428571	-144.4	-209.285714286	44.5	27.8	46.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	79.8571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0298438070475	-0.00411972249229	-0.0369268936892	-0.00301567511084	-0.0273490154041
18	93.7142857143	-66.6	-79.4285714286	226.5	194.4	121.333333333	-58.7142857143	-175.8	-190.285714286	44.5	20.0	36.0	0.0	0.0	1.14285714286	0.0	0.0	0.0	0.0	111.8	79.8571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0513119809253	0.0	0.0154575706998	0.0209266016774	-0.00370370793748
19	13.4285714286	-110.0	-76.2857142857	186.0	145.6	146.166666667	-129.428571429	-199.0	-184.142857143	117.666666667	83.6	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.4	76.2857142857	0.0	0.0	0.0	0.0	0.0	0.0	9.83333333333	75.6	0.0	0.0	-0.00788412564295	0.0121575185779	0.002944613475	-0.0093197319488
20	41.1428571429	-93.2	-26.1428571429	216.5	167.8	175.0	-112.857142857	-191.2	-137.285714286	86.1666666667	75.4	52.8333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.4	76.2857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.6	0.5	0.023625337002	-0.00410437398227	-0.00302593887864	-0.0088635893354	-0.00375234961855
21	100.0	-38.8	-27.0	219.5	185.6	188.833333333	-54.0	-144.2	-77.1428571429	73.1666666667	45.6	49.0	0.0	5.6	0.714285714286	0.0	0.0	0.0	0.0	96.6	72.5714285714	0.0	0.0	0.0	0.0	1.0	0.714285714286	0.0	0.0	0.0	0.0230800689539	0.0	-0.0121945877621	-0.0149470593583	0.00375234961855
22	128.571428571	-15.6	-35.7142857143	208.5	193.2	189.666666667	-30.8571428571	-95.6	-81.0	70.5	41.0	53.8333333333	0.0	3.0	2.85714285714	0.0	0.0	0.0	0.0	96.6	68.8571428571	0.0	0.0	0.0	1.42857142857	1.6	0.714285714286	0.0	0.0	1.0	-0.0192226683896	0.0	0.0330851081881	0.00600602406021	-0.0150946262225
